datetime,TRFFCVLM,OCCPNCY,SPD_AVG
2023-12-11 00:00:00,150,5,96
2023-12-11 00:05:00,30,4,95
2023-12-11 00:10:00,32,4,94
2023-12-11 00:15:00,35,4,94
2023-12-11 00:20:00,38,4,94
2023-12-11 00:25:00,40,4,94
2023-12-11 00:30:00,43,4,94
2023-12-11 00:35:00,46,4,94
2023-12-11 00:40:00,48,4,94
2023-12-11 00:45:00,51,4,94
2023-12-11 00:50:00,54,4,94
2023-12-11 00:55:00,56,4,94
2023-12-11 01:00:00,59,4,93
2023-12-11 01:05:00,62,4,93
2023-12-11 01:10:00,65,4,93
2023-12-11 01:15:00,67,4,93
2023-12-11 01:20:00,70,5,93
2023-12-11 01:25:00,73,5,93
2023-12-11 01:30:00,75,5,93
2023-12-11 01:35:00,78,5,93
2023-12-11 01:40:00,81,5,93
2023-12-11 01:45:00,83,5,93
2023-12-11 01:50:00,86,5,92
2023-12-11 01:55:00,89,5,92
2023-12-11 02:00:00,92,5,92
2023-12-11 02:05:00,94,5,92
2023-12-11 02:10:00,97,5,92
2023-12-11 02:15:00,100,5,92
2023-12-11 02:20:00,102,5,92
2023-12-11 02:25:00,105,5,92
2023-12-11 02:30:00,108,6,92
2023-12-11 02:35:00,110,6,92
2023-12-11 02:40:00,113,6,91
2023-12-11 02:45:00,116,6,91
2023-12-11 02:50:00,119,6,91
2023-12-11 02:55:00,121,6,91
2023-12-11 03:00:00,124,6,91
2023-12-11 03:05:00,127,6,91
2023-12-11 03:10:00,129,6,91
2023-12-11 03:15:00,132,6,91
2023-12-11 03:20:00,135,6,91
2023-12-11 03:25:00,137,6,91
2023-12-11 03:30:00,140,6,91
2023-12-11 03:35:00,143,6,90
2023-12-11 03:40:00,146,7,90
2023-12-11 03:45:00,148,7,90
2023-12-11 03:50:00,151,7,90
2023-12-11 03:55:00,154,7,90
2023-12-11 04:00:00,156,7,90
2023-12-11 04:05:00,159,7,90
2023-12-11 04:10:00,162,7,90
2023-12-11 04:15:00,164,7,90
2023-12-11 04:20:00,167,7,90
2023-12-11 04:25:00,170,7,89
2023-12-11 04:30:00,173,7,89
2023-12-11 04:35:00,175,7,89
2023-12-11 04:40:00,178,7,89
2023-12-11 04:45:00,181,7,89
2023-12-11 04:50:00,183,8,89
2023-12-11 04:55:00,186,8,89
2023-12-11 05:00:00,189,8,89
2023-12-11 05:05:00,191,8,89
2023-12-11 05:10:00,194,8,89
2023-12-11 05:15:00,197,8,88
2023-12-11 05:20:00,200,8,88
2023-12-11 05:25:00,202,8,88
2023-12-11 05:30:00,205,8,88
2023-12-11 05:35:00,208,8,88
2023-12-11 05:40:00,210,8,88
2023-12-11 05:45:00,213,8,88
2023-12-11 05:50:00,216,8,88
2023-12-11 05:55:00,218,8,88
2023-12-11 06:00:00,221,9,88
2023-12-11 06:05:00,224,9,87
2023-12-11 06:10:00,227,9,87
2023-12-11 06:15:00,229,9,87
2023-12-11 06:20:00,232,9,87
2023-12-11 06:25:00,235,9,87
2023-12-11 06:30:00,237,9,87
2023-12-11 06:35:00,240,9,87
2023-12-11 06:40:00,243,9,87
2023-12-11 06:45:00,245,9,87
2023-12-11 06:50:00,248,9,87
2023-12-11 06:55:00,251,9,87
2023-12-11 07:00:00,254,9,86
2023-12-11 07:05:00,256,9,86
2023-12-11 07:10:00,259,10,86
2023-12-11 07:15:00,262,10,86
2023-12-11 07:20:00,264,10,86
2023-12-11 07:25:00,267,10,86
2023-12-11 07:30:00,270,10,86
2023-12-11 07:35:00,272,10,86
2023-12-11 07:40:00,275,10,86
2023-12-11 07:45:00,278,10,86
2023-12-11 07:50:00,281,10,85
2023-12-11 07:55:00,283,10,85
2023-12-11 08:00:00,286,10,85
2023-12-11 08:05:00,289,10,85
2023-12-11 08:10:00,291,10,85
2023-12-11 08:15:00,294,10,85
2023-12-11 08:20:00,297,11,85
2023-12-11 08:25:00,299,11,85
2023-12-11 08:30:00,302,11,85
2023-12-11 08:35:00,305,11,85
2023-12-11 08:40:00,308,11,84
2023-12-11 08:45:00,310,11,84
2023-12-11 08:50:00,313,11,84
2023-12-11 08:55:00,316,11,84
2023-12-11 09:00:00,318,11,84
2023-12-11 09:05:00,321,11,84
2023-12-11 09:10:00,324,11,84
2023-12-11 09:15:00,326,11,84
2023-12-11 09:20:00,329,11,84
2023-12-11 09:25:00,332,11,84
2023-12-11 09:30:00,335,12,84
2023-12-11 09:35:00,426,11,88
2023-12-11 09:40:00,414,11,89
2023-12-11 09:45:00,383,10,87
2023-12-11 09:50:00,420,11,85
2023-12-11 09:55:00,445,12,86
2023-12-11 10:00:00,394,10,88
2023-12-11 10:05:00,393,10,87
2023-12-11 10:10:00,437,12,84
2023-12-11 10:15:00,437,12,83
2023-12-11 10:20:00,405,11,82
2023-12-11 10:25:00,449,13,80
2023-12-11 10:30:00,401,11,86
2023-12-11 10:35:00,426,12,84
2023-12-11 10:40:00,413,12,85
2023-12-11 10:45:00,440,12,80
2023-12-11 10:50:00,420,12,82
2023-12-11 10:55:00,394,17,66
2023-12-11 11:00:00,385,37,33
2023-12-11 11:05:00,378,37,31
2023-12-11 11:10:00,436,35,32
2023-12-11 11:15:00,482,18,59
2023-12-11 11:20:00,424,11,79
2023-12-11 11:25:00,418,12,80
2023-12-11 11:30:00,383,9,83
2023-12-11 11:35:00,366,10,80
2023-12-11 11:40:00,354,9,81
2023-12-11 11:45:00,345,9,83
2023-12-11 11:50:00,417,12,78
2023-12-11 11:55:00,309,9,82
2023-12-11 12:00:00,404,12,79
2023-12-11 12:05:00,376,10,83
2023-12-11 12:10:00,384,11,82
2023-12-11 12:15:00,372,11,80
2023-12-11 12:20:00,348,10,81
2023-12-11 12:25:00,359,11,83
2023-12-11 12:30:00,306,9,82
2023-12-11 12:35:00,333,9,79
2023-12-11 12:40:00,298,9,78
