time,duration,distance
2024.6.11 00:00,31,20km
2024.6.11 00:01,31,20km
2024.6.11 00:02,31,20km
2024.6.11 00:03,31,20km
2024.6.11 00:04,31,20km
2024.6.11 00:05,31,20km
2024.6.11 00:06,31,20km
2024.6.11 00:07,31,20km
2024.6.11 00:08,31,20km
2024.6.11 00:09,31,20km
2024.6.11 00:10,30,20km
2024.6.11 00:11,30,20km
2024.6.11 00:12,30,20km
2024.6.11 00:13,30,20km
2024.6.11 00:14,30,20km
2024.6.11 00:15,30,20km
2024.6.11 00:16,30,20km
2024.6.11 00:17,30,20km
2024.6.11 00:18,30,20km
2024.6.11 00:19,30,20km
2024.6.11 00:20,30,20km
2024.6.11 00:21,30,20km
2024.6.11 00:22,30,20km
2024.6.11 00:23,30,20km
2024.6.11 00:24,30,20km
2024.6.11 00:25,30,20km
2024.6.11 00:26,30,20km
2024.6.11 00:27,30,20km
2024.6.11 00:28,30,20km
2024.6.11 00:29,30,20km
2024.6.11 00:30,30,20km
2024.6.11 00:31,30,20km
2024.6.11 00:32,30,20km
2024.6.11 00:33,30,20km
2024.6.11 00:34,30,20km
2024.6.11 00:35,30,20km
2024.6.11 00:36,30,20km
2024.6.11 00:37,30,20km
2024.6.11 00:38,30,20km
2024.6.11 00:39,30,20km
2024.6.11 00:40,30,20km
2024.6.11 00:41,30,20km
2024.6.11 00:42,30,20km
2024.6.11 00:43,30,20km
2024.6.11 00:44,30,20km
2024.6.11 00:45,30,20km
2024.6.11 00:46,30,20km
2024.6.11 00:47,30,20km
2024.6.11 00:48,30,20km
2024.6.11 00:49,30,20km
2024.6.11 00:50,29,20km
2024.6.11 00:51,29,20km
2024.6.11 00:52,29,20km
2024.6.11 00:53,29,20km
2024.6.11 00:54,29,20km
2024.6.11 00:55,29,20km
2024.6.11 00:56,29,20km
2024.6.11 00:57,29,20km
2024.6.11 00:58,30,20km
2024.6.11 00:59,30,20km
2024.6.11 01:00,30,20km
2024.6.11 01:01,30,20km
2024.6.11 01:02,30,20km
2024.6.11 01:03,30,20km
2024.6.11 01:04,30,20km
2024.6.11 01:05,30,20km
2024.6.11 01:06,30,20km
2024.6.11 01:07,30,20km
2024.6.11 01:08,30,20km
2024.6.11 01:09,30,20km
2024.6.11 01:10,30,20km
2024.6.11 01:11,30,20km
2024.6.11 01:12,30,20km
2024.6.11 01:13,30,20km
2024.6.11 01:14,30,20km
2024.6.11 01:15,30,20km
2024.6.11 01:16,30,20km
